                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0006,                 2.8263,                  1.111,                0.00338,                      1,                0.98244,                0.78652,                0.51556,                 2.7704,                0.78804,                0.00032,                0.00032,                0.00032
                      2,                0.46652,                 1.1938,                0.81584,                0.00334,                      1,                 0.7514,                0.64496,                0.39916,                 2.8217,                0.79058,             0.00065347,             0.00065347,             0.00065347
                      3,                0.45025,                0.92458,                0.82362,                0.89667,                0.86449,                0.94489,                0.85807,                0.40796,                 1.9067,                0.79933,              0.0009802,              0.0009802,              0.0009802
                      4,                0.43236,                0.86197,                0.82221,                      1,                0.95199,                0.99492,                0.90892,                0.42461,                 1.8375,                0.80439,              0.0013002,              0.0013002,              0.0013002
                      5,                0.41366,                0.75586,                0.82286,                0.99538,                0.99234,                0.99431,                 0.9049,                0.40084,                 1.3569,                0.79571,              0.0016135,              0.0016135,              0.0016135
                      6,                0.41918,                0.70363,                 0.8251,                 0.9995,                      1,                  0.995,                0.90069,                0.42672,                0.75572,                0.79926,               0.001901,               0.001901,               0.001901
                      7,                0.42494,                0.69911,                0.80944,                0.99911,                      1,                  0.995,                0.92255,                0.38331,                0.60682,                0.79865,              0.0018812,              0.0018812,              0.0018812
                      8,                 0.4085,                0.60514,                0.82423,                0.99972,                      1,                  0.995,                0.92201,                0.35842,                0.55799,                 0.7855,              0.0018614,              0.0018614,              0.0018614
                      9,                0.38931,                0.54861,                0.80293,                0.99967,                      1,                  0.995,                0.95561,                0.32311,                0.46797,                 0.7808,              0.0018416,              0.0018416,              0.0018416
                     10,                0.39297,                0.52291,                0.81112,                0.99965,                      1,                  0.995,                0.93946,                0.33697,                 0.4505,                0.78254,              0.0018218,              0.0018218,              0.0018218
                     11,                0.37102,                 0.4931,                0.80855,                0.99677,                      1,                  0.995,                0.91989,                0.38144,                0.41057,                 0.7914,               0.001802,               0.001802,               0.001802
                     12,                0.39786,                0.48398,                 0.8085,                0.99976,                      1,                  0.995,                0.96065,                0.31022,                 0.4136,                0.77847,              0.0017822,              0.0017822,              0.0017822
